estStatusDesc,postal,rowNo,addr,estName,infrAction,lon,enfrOutcome,unit,infrTypeDesc,enfrAmountFined,inspStatusDesc,enfrOutcomeDate,lat,inspDate,servTypeDesc
Pass,M6E,4650,1374 ST CLAIR AVE W,LAURA'S HAIR DESIGN,,-79.450134529,,,,,Pass,,43.6766206818,2018-09-20T00:00:00,Barbering & Hairdressing
Pass,M4N,5599,3248 YONGE ST,TOPCUTS,,-79.4037239815,,,,,Pass,,43.7297059004,2017-08-28T00:00:00,Barbering & Hairdressing
Pass,M1H,1371,3495 LAWRENCE AVE E,REGAL NAILS,Notice to Comply,-79.2291360962,,UNIT-740,Sterilized packaged items are handled dry and maintained sterile until use,,Conditional,,43.7587473241,2017-09-14T00:00:00,Ear Piercing
Pass,M4G,2592,45 WICKSTEED AVE,STRAIGHTCURLZZ,,-79.3628696992,,UNIT-280-23,,,Pass,,43.7103019993,2018-05-08T00:00:00,Barbering & Hairdressing
Pass,M2J,1314,1800 SHEPPARD AVE E,THE BARBER'S CHAIR,Notice to Comply,-79.34449821529999,,UNIT-1043,Sharps discarded immediately in an approved sharps container and disposed of properly,,Conditional,,43.7777482543,2018-02-21T00:00:00,Barbering & Hairdressing
Pass,M2N,12872,5533 YONGE ST,BALANCE,,-79.4148888165,,2ND FLOOR,,,Pass,,43.7785659566,2017-11-06T00:00:00,Barbering & Hairdressing
Pass,M5V,6526,410 LAKE SHORE BLVD W,HAND & STONE MASSAGE AND FACIAL SPA,,-79.39729,,UNIT-1,,,Pass,,43.637367,2019-04-25T00:00:00,Aesthetics
Pass,M3H,11714,181 COCKSFIELD AVE,ROGER'S BARBER SHOP,,-79.45159189649999,,7,,,Pass,,43.7539641224,2018-09-27T00:00:00,Barbering & Hairdressing
Pass,M1N,11474,2424 KINGSTON RD,TIGER-K TATTOO,,-79.2499856844,,,,,Pass,,43.7090287149,2018-05-03T00:00:00,Tattooing
Pass,M5M,5609,1966 AVENUE RD,ANNA K. HAIR DESIGN,,-79.4200778174,,,,,Pass,,43.7344102028,2017-09-15T00:00:00,Barbering & Hairdressing
Pass,M6N,9692,1986 DAVENPORT RD,CIDALIA'S HAIR STUDIO,,-79.457619393,,,,,Pass,,43.6703328055,2017-09-12T00:00:00,Aesthetics
Pass,M1V,9605,4675 STEELES AVE E,SALON PLUS HAIR & NAIL COLLECTION,,-79.3025283879,,"UNIT-1D20, 22, 2",,,Pass,,43.8241553781,2018-02-28T00:00:00,Nails
Pass,M1R,1370,126 ELLESMERE RD,TRENDY HAIR SALON,Notice to Comply,-79.309743994,,,Appropriate contact time used on approved disinfectants,,Conditional,,43.7595364316,2018-06-01T00:00:00,Aesthetics
Pass,M4L,10202,1973 QUEEN ST E,MARCELA FRANCO BARBER SHOP AND HAIRSTYLING,,-79.30094692109999,,,,,Pass,,43.669704986999996,2018-11-23T00:00:00,Barbering & Hairdressing
Pass,M9V,11127,984B ALBION RD,HAIR KING,,-79.5624708054,,,,,Pass,,43.7365367406,2017-10-02T00:00:00,Barbering & Hairdressing
Pass,M6C,2960,1048 EGLINTON AVE W,NAILS AND ME,,-79.430458958,,,,,Pass,,43.7002294647,2018-11-06T00:00:00,Nails
Pass,M3H,8362,1881 STEELES AVE W,VENETIAN DAY SPA,,-79.46964009999998,,UNIT-4,,,Pass,,43.7871774,2018-02-16T00:00:00,Aesthetics
Pass,M9V,12779,1753 ALBION RD,ALL-N-1 HOUSE OF BEAUTY,,-79.606241943,,UNIT-11,,,Pass,,43.742984116,2017-08-02T00:00:00,Barbering & Hairdressing
Pass,M4K,2024,1022 PAPE AVE,VINA NAIL HAIR SALON,Notice to Comply,-79.34906078,,,Work surfaces cleaned then disinfected with a LLD daily,,Conditional,,43.6890944333,2019-01-23T00:00:00,Nails
Pass,M4T,12567,1177 YONGE ST,MANIPEDI SPA,,-79.3915230151,,,,,Pass,,43.6826193892,2018-09-20T00:00:00,Nails
Pass,M6G,2638,541 COLLEGE ST,AVALON HAIR DESIGN,,-79.4116394058,,,,,Pass,,43.655469986199996,2017-11-24T00:00:00,Barbering & Hairdressing
Pass,M6C,2762,1106 EGLINTON AVE W,FEATURING YOU SPA & SALON,,-79.4319090042,,,,,Pass,,43.6998665316,2017-05-02T00:00:00,Barbering & Hairdressing
Pass,M6J,5002,721 QUEEN ST W,ARMOURED SOUL TATTOOS - PIERCING & ART GALLERY,,-79.4061717328,,UNIT-B,,,Pass,,43.6465513312,2018-11-09T00:00:00,Tattooing
Pass,M4L,9305,2012 QUEEN ST E,THE TEN SPOT,,-79.29932036310001,,,,,Pass,,43.67040516229999,2019-03-26T00:00:00,Nails
Pass,M6H,2651,1124 COLLEGE ST,SAM & NICK BARBER SHOP,,-79.4332946445,,,,,Pass,,43.6526092697,2017-07-11T00:00:00,Barbering & Hairdressing
Pass,M1N,2291,2480 GERRARD ST E,FAMOUS NAIL,Notice to Comply,-79.28452537689999,,UNIT-6,Semi-critical items cleaned then disinfected with an ILD or HLD between clients,,Conditional,,43.687471425,2019-03-01T00:00:00,Nails
Pass,M4K,3119,745 BROADVIEW AVE,BROADVIEW NAILS & SPA,,-79.3582593463,,,,,Pass,,43.6758484394,2017-05-24T00:00:00,Nails
Pass,M6K,9160,1392 QUEEN ST W,LINDA CAMEO HAIR DESIGN,,-79.43391395100001,,,,,Pass,,43.641380921899994,2018-09-13T00:00:00,Nails
Pass,M5C,8286,50 KING ST E,FINE LASH INC,,-79.37628000000002,,2ND FLOOR,,,Pass,,43.64963,2019-02-22T00:00:00,Micropigmentation
Pass,M4X,10283,466 SHERBOURNE ST,LE MAY BEAUTY & SALON,,-79.3747018833,,,,,Pass,,43.66652505890001,2018-12-07T00:00:00,Nails
Pass,M6A,11373,3563 BATHURST ST,SITA AESTHETIC SERVICE,,-79.4322298346,,,,,Pass,,43.731180362299995,2018-01-23T00:00:00,Aesthetics
Pass,M5V,4836,425 QUEEN ST W,BLUR MAKEUP ROOM,,-79.3954071294,,115,,,Pass,,43.6487716296,2019-03-07T00:00:00,Barbering & Hairdressing
Pass,M5V,10453,522 QUEEN ST W,FOREVER YOUNG INK TATTOOS,,-79.4019273896,,,,,Pass,,43.6477989382,2018-11-09T00:00:00,Tattooing
Pass,M6L,6954,1371 LAWRENCE AVE W,SAM'S HAIR STUDIO,,-79.4737631887,,,,,Pass,,43.7096498371,2017-05-26T00:00:00,Barbering & Hairdressing
Pass,M4H,2161,45 OVERLEA BLVD,NAILS FOR YOU,Ticket,-79.3462588972,"Fine Only, No Court",UNIT-147,Semi-critical items cleaned then disinfected with an ILD or HLD between clients,305.0,Conditional,2018-07-24,43.7055467108,2018-07-10T00:00:00,Aesthetics
Pass,M4P,6435,2463 YONGE ST,BEAUTY BABE LOUNGE,,-79.3990812467,,FLR-2,,,Pass,,43.7114843965,2019-05-03T00:00:00,Aesthetics
Pass,M2K,7689,27 REAN DR,SUSAN NAIL & SPA,,-79.3825491022,,UNIT-5,,,Pass,,43.76758683520001,2018-10-29T00:00:00,Nails
Pass,M6H,10448,1069 COLLEGE ST,SEKAI NAIL & BEAUTY BAR,,-79.4313211381,,,,,Pass,,43.652623445699994,2019-04-26T00:00:00,Aesthetics
Pass,M5M,8635,1969 AVENUE RD,ZEN NAILS & SPA,,-79.41955553439999,,,,,Pass,,43.734738777299995,2017-09-13T00:00:00,Aesthetics
Pass,M5R,771,122 CUMBERLAND ST,AMANI HAIR COSMETIC LTD.,Notice to Comply,-79.3919815245,,FLR-2,Tip of needle holder in electrolysis cleaned then disinfected with a HLD between clients,,Conditional,,43.6702958829,2017-12-20T00:00:00,Electrolysis
Pass,M1K,2153,2480 EGLINTON AVE E,LIBERTY SALON,Notice to Comply,-79.2596153281,,UNIT-2,Sharps discarded immediately in an approved sharps container and disposed of properly,,Conditional,,43.73494926,2018-06-21T00:00:00,Barbering & Hairdressing
Pass,M5C,4846,176 YONGE ST,THE TEN SPOT,,-79.37933000000002,,,,,Pass,,43.65233,2018-10-22T00:00:00,Aesthetics
Pass,M4M,6588,934 QUEEN ST E,FUZZ WAX BAR,,-79.3415112646,,,,,Pass,,43.6609128495,2018-02-22T00:00:00,Aesthetics
Pass,M2N,10154,5460 YONGE ST,CHERRY BEAUTY SPA,,-79.41552806989999,,109,,,Pass,,43.7772138133,2019-03-06T00:00:00,Aesthetics
Pass,M4P,6117,2313A YONGE ST,PLANET NAILS,,-79.3983179534,,,,,Pass,,43.7078766429,2018-10-01T00:00:00,Ear Piercing
Pass,M6M,12012,605 ROGERS RD,ELEGANT SPA & STUDIO,,-79.47451334739999,,UNIT-4,,,Pass,,43.681618829499996,2018-05-23T00:00:00,Barbering & Hairdressing
